Ticker,Old Price,Date,Type,Original Currency
0P00018XAP.L,113.88285064697266,2019-07-21,MUTUALFUND,GBP
0P00018XAP.L,117.09754943847656,2019-07-28,MUTUALFUND,GBP
0P00018XAP.L,110.04170227050781,2019-08-04,MUTUALFUND,GBP
0P00018XAP.L,110.6244888305664,2019-08-11,MUTUALFUND,GBP
0P00018XAP.L,110.47789001464844,2019-08-18,MUTUALFUND,GBP
0P00018XAP.L,112.00701141357422,2019-09-01,MUTUALFUND,GBP
0P00018XAP.L,111.46398162841797,2019-09-08,MUTUALFUND,GBP
0P00018XAP.L,112.80664825439453,2019-09-15,MUTUALFUND,GBP
0P00018XAP.L,112.84742736816406,2019-09-22,MUTUALFUND,GBP
0P00018XAP.L,114.13109588623047,2019-09-29,MUTUALFUND,GBP
0P00018XAP.L,111.01004791259766,2019-10-06,MUTUALFUND,GBP
0P00018XAP.L,111.37506866455078,2019-10-13,MUTUALFUND,GBP
0P00018XAP.L,110.63294982910156,2019-10-20,MUTUALFUND,GBP
0P00018XAP.L,87.50064849853516,2020-03-29,MUTUALFUND,GBP
0P00018XAP.L,87.62764739990234,2020-04-05,MUTUALFUND,GBP
0P00018XAP.L,91.30946350097656,2020-04-19,MUTUALFUND,GBP
0P00018XAP.L,91.91911315917969,2020-04-26,MUTUALFUND,GBP
0P00018XAP.L,90.4586410522461,2020-05-03,MUTUALFUND,GBP
0P00018XAP.L,93.05357360839844,2020-05-10,MUTUALFUND,GBP
0P00018XAP.L,95.3765640258789,2020-05-17,MUTUALFUND,GBP
0P00018XAP.L,97.33109283447266,2020-05-31,MUTUALFUND,GBP
0P00018XAP.L,101.65879821777344,2020-06-07,MUTUALFUND,GBP
0P00018XAP.L,95.7905502319336,2020-06-14,MUTUALFUND,GBP
0P00018XAP.L,98.1726303100586,2020-06-21,MUTUALFUND,GBP
0P00018XAP.L,97.90460205078125,2020-06-28,MUTUALFUND,GBP
0P00018XAP.L,98.9259033203125,2020-07-05,MUTUALFUND,GBP
0P00018XAP.L,97.26746368408203,2020-07-12,MUTUALFUND,GBP
0P00018XAP.L,98.60975646972656,2020-07-19,MUTUALFUND,GBP
0P00018XAP.L,96.18697357177734,2020-07-26,MUTUALFUND,GBP
0P00018XAP.L,95.52214813232422,2020-08-02,MUTUALFUND,GBP
0P00018XAP.L,95.94049835205078,2020-08-09,MUTUALFUND,GBP
0P00018XAP.L,97.50538635253906,2020-08-16,MUTUALFUND,GBP
