Ticker,Old Price,Date,Type,Original Currency,FX Ticker,FX Rate
VNRX,3.0,2012-03-30,EQUITY,USD,GBP=X,
VNRX,3.0299999713897705,2012-04-13,EQUITY,USD,GBP=X,
VNRX,3.25,2012-04-20,EQUITY,USD,GBP=X,
VNRX,3.450000047683716,2012-04-27,EQUITY,USD,GBP=X,
VNRX,3.450000047683716,2012-05-04,EQUITY,USD,GBP=X,
VNRX,3.450000047683716,2012-05-11,EQUITY,USD,GBP=X,
VNRX,3.5,2012-05-18,EQUITY,USD,GBP=X,
VNRX,3.5,2012-05-25,EQUITY,USD,GBP=X,
VNRX,3.5,2012-06-01,EQUITY,USD,GBP=X,
VNRX,3.5,2012-06-08,EQUITY,USD,GBP=X,
VNRX,3.5,2012-06-15,EQUITY,USD,GBP=X,
VNRX,3.5,2012-06-22,EQUITY,USD,GBP=X,
VNRX,3.490000009536743,2012-06-29,EQUITY,USD,GBP=X,
VNRX,3.5,2012-07-06,EQUITY,USD,GBP=X,
VNRX,3.5,2012-07-13,EQUITY,USD,GBP=X,
VNRX,4.0,2012-07-20,EQUITY,USD,GBP=X,
VNRX,4.0,2012-07-27,EQUITY,USD,GBP=X,
VNRX,4.099999904632568,2012-08-03,EQUITY,USD,GBP=X,
VNRX,4.099999904632568,2012-08-10,EQUITY,USD,GBP=X,
VNRX,4.309999942779541,2012-08-17,EQUITY,USD,GBP=X,
VNRX,4.309999942779541,2012-08-24,EQUITY,USD,GBP=X,
VNRX,4.309999942779541,2012-08-31,EQUITY,USD,GBP=X,
VNRX,4.309999942779541,2012-09-07,EQUITY,USD,GBP=X,
VNRX,4.309999942779541,2012-09-14,EQUITY,USD,GBP=X,
VNRX,4.309999942779541,2012-09-21,EQUITY,USD,GBP=X,
VNRX,4.309999942779541,2012-09-28,EQUITY,USD,GBP=X,
VNRX,4.309999942779541,2012-10-05,EQUITY,USD,GBP=X,
VNRX,4.309999942779541,2012-10-12,EQUITY,USD,GBP=X,
VNRX,4.199999809265137,2012-10-19,EQUITY,USD,GBP=X,
VNRX,4.199999809265137,2012-10-26,EQUITY,USD,GBP=X,
VNRX,2.25,2013-04-05,EQUITY,USD,GBP=X,
VNRX,2.2300000190734863,2013-04-12,EQUITY,USD,GBP=X,
VNRX,2.6500000953674316,2013-04-19,EQUITY,USD,GBP=X,
VNRX,2.25,2013-04-26,EQUITY,USD,GBP=X,
VNRX,2.5,2013-05-03,EQUITY,USD,GBP=X,
VNRX,2.75,2013-05-10,EQUITY,USD,GBP=X,
VNRX,2.5,2013-05-17,EQUITY,USD,GBP=X,
VNRX,2.2100000381469727,2013-05-24,EQUITY,USD,GBP=X,
VNRX,2.109999895095825,2013-05-31,EQUITY,USD,GBP=X,
VNRX,2.200000047683716,2013-06-07,EQUITY,USD,GBP=X,
VNRX,2.4200000762939453,2013-06-14,EQUITY,USD,GBP=X,
VNRX,2.4000000953674316,2013-06-21,EQUITY,USD,GBP=X,
VNRX,2.200000047683716,2013-06-28,EQUITY,USD,GBP=X,
VNRX,2.200000047683716,2013-07-05,EQUITY,USD,GBP=X,
VNRX,2.0399999618530273,2013-07-12,EQUITY,USD,GBP=X,
VNRX,2.0,2013-07-19,EQUITY,USD,GBP=X,
VNRX,2.200000047683716,2013-07-26,EQUITY,USD,GBP=X,
VNRX,2.1700000762939453,2013-08-02,EQUITY,USD,GBP=X,
VNRX,2.140000104904175,2013-08-09,EQUITY,USD,GBP=X,
VNRX,2.049999952316284,2013-08-16,EQUITY,USD,GBP=X,
VNRX,2.049999952316284,2013-08-23,EQUITY,USD,GBP=X,
VNRX,2.0299999713897705,2013-08-30,EQUITY,USD,GBP=X,
VNRX,2.0,2013-09-06,EQUITY,USD,GBP=X,
VNRX,2.0,2013-09-13,EQUITY,USD,GBP=X,
VNRX,2.049999952316284,2013-09-20,EQUITY,USD,GBP=X,
VNRX,2.0899999141693115,2013-09-27,EQUITY,USD,GBP=X,
VNRX,2.0899999141693115,2013-10-04,EQUITY,USD,GBP=X,
VNRX,2.0,2013-10-07,EQUITY,USD,GBP=X,
VNRX,2.0,2013-10-11,EQUITY,USD,GBP=X,
